,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypesOfSteel_A300,TypesOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults_(Class)
193,506,519,548929.0,548953.0,170.0,28.0,25.0,20000.0,105,126,1356,1,0,70,0.7463,0.4551,0.5417,0.0096,0.4643,0.96,1.0,2.2304,1.1139,1.3802,0.4583,-0.0809,0.5162,0,1,0,0,0,0,1
194,109,121,560425.0,560445.0,124.0,18.0,20.0,13549.0,97,124,1352,1,0,70,0.1612,0.4833,0.6,0.0089,0.6667,1.0,1.0,2.0934,1.0792,1.301,0.4,-0.1464,0.3977,0,1,0,0,0,0,1
196,51,61,585861.0,585888.0,139.0,21.0,27.0,8233.0,40,78,1356,1,0,70,0.0752,0.4852,0.3704,0.0074,0.4762,1.0,1.0,2.143,1.0,1.4314,0.6296,-0.5373,0.4465,0,1,0,0,0,0,1
198,703,718,618132.0,618148.0,112.0,23.0,17.0,11154.0,87,111,1356,1,0,70,0.941,0.5333,0.9375,0.0111,0.6522,0.9412,1.0,2.0492,1.1761,1.2041,0.0625,-0.222,0.3977,0,1,0,0,0,0,1
199,405,416,634279.0,634288.0,71.0,15.0,10.0,8824.0,113,135,1358,1,0,70,0.5965,0.2828,0.8182,0.0081,0.7333,0.9,0.0,1.8513,1.0414,0.9542,-0.1818,-0.0291,0.2051,0,1,0,0,0,0,1
200,135,142,646729.0,646749.0,77.0,15.0,20.0,8235.0,97,124,1356,1,0,70,0.1991,0.45,0.35,0.0052,0.4667,1.0,1.0,1.8865,0.8451,1.301,0.65,-0.1645,0.2532,0,1,0,0,0,0,1
221,157,167,1009876.0,1009888.0,67.0,15.0,13.0,8477.0,113,140,1352,1,0,70,0.2323,0.4417,0.8333,0.0074,0.6667,0.9231,1.0,1.8261,1.0,1.0792,0.1667,-0.0115,0.2288,0,1,0,0,0,0,1
224,176,193,1048818.0,1048832.0,138.0,30.0,16.0,17295.0,114,141,1356,1,0,70,0.2596,0.4202,0.8235,0.0125,0.5667,0.875,0.0,2.1399,1.2305,1.1461,-0.1765,-0.0209,0.3945,0,1,0,0,0,0,1
225,141,154,1060291.0,1060313.0,109.0,25.0,22.0,12602.0,102,132,1356,1,0,70,0.208,0.6189,0.5909,0.0096,0.52,1.0,1.0,2.0374,1.1139,1.3424,0.4091,-0.0968,0.4729,0,1,0,0,0,0,1
226,172,179,1072228.0,1072248.0,74.0,19.0,20.0,8027.0,98,119,1354,1,0,70,0.2541,0.4714,0.35,0.0052,0.3684,1.0,1.0,1.8692,0.8451,1.301,0.65,-0.1525,0.2532,0,1,0,0,0,0,1
228,137,156,1093477.0,1093492.0,184.0,31.0,15.0,19460.0,96,118,1354,1,0,70,0.2024,0.3544,0.7895,0.014,0.6129,1.0,0.0,2.2648,1.2787,1.1761,-0.2105,-0.1737,0.4713,0,1,0,0,0,0,1
229,14,32,1105359.0,1105387.0,252.0,55.0,36.0,19650.0,52,94,1356,1,0,70,0.0206,0.5,0.6429,0.0133,0.3273,0.7778,1.0,2.4014,1.2553,1.4472,0.3571,-0.3908,0.7933,0,1,0,0,0,0,1
230,212,222,1116878.0,1116892.0,62.0,14.0,14.0,6819.0,98,124,1354,1,0,70,0.3131,0.5571,0.7143,0.0074,0.7143,1.0,1.0,1.7924,1.0,1.1461,0.2857,-0.1408,0.2532,0,1,0,0,0,0,1
231,114,127,1127920.0,1127927.0,60.0,14.0,8.0,6685.0,102,124,1354,1,0,70,0.1684,0.3407,0.5385,0.0096,0.9286,0.875,0.0,1.7781,1.1139,0.8451,-0.4615,-0.1296,0.1965,0,1,0,0,0,0,1
232,242,252,1137747.0,1137757.0,55.0,20.0,14.0,6483.0,109,127,1354,1,0,70,0.3575,0.45,1.0,0.0074,0.5,0.7143,0.5,1.7404,1.0,1.0,0.0,-0.0791,0.2061,0,1,0,0,0,0,1
234,107,120,1159125.0,1159132.0,54.0,18.0,7.0,6135.0,102,124,1354,1,0,70,0.1581,0.4066,0.5385,0.0096,0.7222,1.0,0.0,1.7324,1.1139,0.8451,-0.4615,-0.1124,0.1965,0,1,0,0,0,0,1
235,119,127,1172603.0,1172632.0,128.0,22.0,30.0,15896.0,111,140,1356,1,0,70,0.1755,0.4483,0.2759,0.0059,0.3636,0.9667,1.0,2.1072,0.9031,1.4624,0.7241,-0.0298,0.385,0,1,0,0,0,0,1
236,1341,1347,1184511.0,1184525.0,51.0,17.0,14.0,4499.0,51,117,1358,1,0,70,0.0162,0.3929,0.4286,0.0044,0.3529,1.0,1.0,1.7076,0.7782,1.1461,0.5714,-0.3108,0.1892,0,1,0,0,0,0,1
237,75,82,1196901.0,1196915.0,61.0,12.0,14.0,5695.0,81,109,1354,1,0,70,0.1108,0.3776,0.5,0.0052,0.5833,1.0,1.0,1.7853,0.8451,1.1461,0.5,-0.2706,0.204,0,1,0,0,0,0,1
240,603,612,1266537.0,1266548.0,65.0,10.0,12.0,6757.0,95,115,1358,1,0,70,0.8881,0.3434,0.8182,0.0066,0.9,0.9167,1.0,1.8129,0.9542,1.0414,0.1818,-0.1879,0.2051,0,1,0,0,0,0,1
241,220,234,1285730.0,1285749.0,138.0,28.0,21.0,14757.0,93,118,1358,1,0,70,0.324,0.4812,0.7368,0.0103,0.5,0.9048,1.0,2.1399,1.1461,1.2787,0.2632,-0.1646,0.4399,0,1,0,0,0,0,1
242,225,241,1301932.0,1301945.0,85.0,23.0,16.0,8566.0,93,111,1358,1,0,70,0.3314,0.5914,0.8125,0.0118,0.6956,0.8125,0.0,1.9294,1.2041,1.1139,-0.1875,-0.2127,0.3479,0,1,0,0,0,0,1
244,294,308,1323717.0,1323745.0,222.0,25.0,29.0,25660.0,104,125,1358,1,0,70,0.433,0.4337,0.5,0.0103,0.56,0.9655,1.0,2.3463,1.1461,1.4472,0.5,-0.097,0.6453,0,1,0,0,0,0,1
245,79,95,1335585.0,1335593.0,73.0,20.0,11.0,8327.0,103,126,1356,1,0,70,0.1165,0.4297,0.5,0.0118,0.8,0.7273,0.0,1.8633,1.2041,0.9031,-0.5,-0.1088,0.2384,0,1,0,0,0,0,1
248,165,176,1373431.0,1373442.0,52.0,17.0,13.0,5376.0,95,111,1358,1,0,70,0.243,0.5702,1.0,0.0081,0.6471,0.8461,0.5,1.716,1.0414,1.0414,0.0,-0.1923,0.23,0,1,0,0,0,0,1
249,135,146,1385900.0,1385914.0,98.0,23.0,14.0,9733.0,89,113,1360,1,0,70,0.1985,0.3636,0.7857,0.0081,0.4783,1.0,1.0,1.9912,1.0414,1.1461,0.2143,-0.2241,0.2712,0,1,0,0,0,0,1
250,85,96,1398904.0,1398914.0,61.0,12.0,11.0,6834.0,102,124,1358,1,0,70,0.1252,0.4455,0.9091,0.0081,0.9167,0.9091,0.0,1.7853,1.0414,1.0,-0.0909,-0.1247,0.2173,0,1,0,0,0,0,1
251,356,367,1411801.0,1411815.0,75.0,19.0,16.0,7384.0,89,109,1358,1,0,70,0.5243,0.513,0.7857,0.0081,0.5789,0.875,1.0,1.8751,1.0414,1.1461,0.2143,-0.2308,0.2712,0,1,0,0,0,0,1
254,108,120,1471277.0,1471288.0,64.0,16.0,13.0,7216.0,102,124,1356,1,0,70,0.1593,0.5152,0.9167,0.0088,0.75,0.8461,0.0,1.8062,1.0792,1.0414,-0.0833,-0.1191,0.2432,0,1,0,0,0,0,1
255,357,370,1483879.0,1483901.0,130.0,26.0,25.0,13185.0,90,117,1358,1,0,70,0.5258,0.5454,0.5909,0.0096,0.5,0.88,1.0,2.1139,1.1139,1.3424,0.4091,-0.2076,0.4729,0,1,0,0,0,0,1
256,169,186,1495862.0,1495883.0,215.0,36.0,22.0,24463.0,103,125,1356,1,0,70,0.2493,0.3978,0.8095,0.0125,0.4722,0.9546,1.0,2.3324,1.2305,1.3222,0.1905,-0.1111,0.5903,0,1,0,0,0,0,1
257,37,48,1508012.0,1508040.0,178.0,25.0,28.0,18774.0,92,116,1356,1,0,70,0.0546,0.4221,0.3929,0.0081,0.44,1.0,1.0,2.2504,1.0414,1.4472,0.6071,-0.176,0.5096,0,1,0,0,0,0,1
258,116,126,1536604.0,1536631.0,155.0,24.0,27.0,16678.0,96,120,1356,1,0,70,0.1711,0.4259,0.3704,0.0074,0.4167,1.0,1.0,2.1903,1.0,1.4314,0.6296,-0.1594,0.4465,0,1,0,0,0,0,1
260,824,844,1564536.0,1564557.0,140.0,27.0,22.0,15545.0,99,125,1356,1,0,70,0.7552,0.6667,0.9524,0.0148,0.7407,0.9546,1.0,2.1461,1.301,1.3222,0.0476,-0.1325,0.6868,0,1,0,0,0,0,1
262,248,262,1589431.0,1589443.0,69.0,20.0,19.0,7588.0,100,119,1356,1,0,70,0.3658,0.5893,0.8571,0.0103,0.7,0.6316,0.0,1.8389,1.1461,1.0792,-0.1429,-0.1408,0.2901,0,1,0,0,0,0,1
263,104,124,1602180.0,1602199.0,231.0,31.0,23.0,29896.0,117,143,1356,1,0,70,0.1534,0.3921,0.95,0.0148,0.6452,0.8261,0.0,2.3636,1.301,1.2787,-0.05,0.0111,0.6268,0,1,0,0,0,0,1
266,221,236,1658742.0,1658769.0,245.0,37.0,33.0,27599.0,100,124,1354,1,0,70,0.3264,0.3951,0.5556,0.0111,0.4054,0.8182,1.0,2.3892,1.1761,1.4314,0.4444,-0.1199,0.6648,0,1,0,0,0,0,1
267,195,209,1671098.0,1671110.0,99.0,16.0,13.0,12056.0,111,132,1358,1,0,70,0.2872,0.4107,0.8571,0.0103,0.875,0.9231,0.0,1.9956,1.1461,1.0792,-0.1429,-0.0486,0.2901,0,1,0,0,0,0,1
268,144,153,1686794.0,1686810.0,55.0,19.0,17.0,6146.0,104,125,1358,1,0,70,0.2121,0.6181,0.5625,0.0066,0.4737,0.9412,1.0,1.7404,0.9542,1.2041,0.4375,-0.127,0.2583,0,1,0,0,0,0,1
270,55,65,1713172.0,1713184.0,64.0,16.0,13.0,7286.0,102,126,1356,1,0,70,0.0811,0.4667,0.8333,0.0074,0.625,0.9231,1.0,1.8062,1.0,1.0792,0.1667,-0.1106,0.2288,0,1,0,0,0,0,1
271,142,155,1723382.0,1723392.0,60.0,20.0,11.0,6260.0,96,117,1360,1,0,70,0.2088,0.5385,0.7692,0.0096,0.65,0.9091,0.0,1.7781,1.1139,1.0,-0.2308,-0.1849,0.2408,0,1,0,0,0,0,1
274,210,224,1761692.0,1761703.0,61.0,17.0,11.0,7309.0,112,132,1356,1,0,70,0.3097,0.6039,0.7857,0.0103,0.8235,1.0,0.0,1.7853,1.1461,1.0414,-0.2143,-0.0639,0.2712,0,1,0,0,0,0,1
277,42,55,1798152.0,1798172.0,170.0,25.0,21.0,16633.0,84,116,1356,1,0,70,0.0619,0.3462,0.65,0.0096,0.52,0.9524,1.0,2.2304,1.1139,1.301,0.35,-0.2356,0.43,0,1,0,0,0,0,1
279,29,39,1821904.0,1821917.0,77.0,17.0,13.0,6861.0,76,109,1356,1,0,70,0.0428,0.4077,0.7692,0.0074,0.5882,1.0,1.0,1.8865,1.0,1.1139,0.2308,-0.3039,0.2408,0,1,0,0,0,0,1
280,173,188,1835338.0,1835349.0,83.0,18.0,12.0,10702.0,116,140,1356,1,0,70,0.2552,0.497,0.7333,0.0111,0.8333,0.9167,0.0,1.9191,1.1761,1.0414,-0.2667,0.0073,0.286,0,1,0,0,0,0,1
281,83,93,1846280.0,1846289.0,61.0,12.0,10.0,6490.0,96,118,1356,1,0,70,0.1224,0.3222,0.9,0.0074,0.8333,0.9,0.0,1.7853,1.0,0.9542,-0.1,-0.1688,0.1954,0,1,0,0,0,0,1
282,17,27,1859616.0,1859633.0,80.0,23.0,17.0,4931.0,41,84,1356,1,0,70,0.0251,0.5294,0.5882,0.0074,0.4348,1.0,1.0,1.9031,1.0,1.2305,0.4118,-0.5185,0.2928,0,1,0,0,0,0,1
283,98,108,1889430.0,1889440.0,51.0,15.0,10.0,5546.0,99,124,1356,1,0,70,0.1445,0.49,1.0,0.0074,0.6667,1.0,0.5,1.7076,1.0,1.0,0.0,-0.1504,0.2061,0,1,0,0,0,0,1
285,116,126,1913635.0,1913646.0,58.0,13.0,11.0,7114.0,112,133,1356,1,0,70,0.1711,0.4727,0.9091,0.0074,0.7692,1.0,1.0,1.7634,1.0,1.0414,0.0909,-0.0418,0.2173,0,1,0,0,0,0,1
286,178,197,1924923.0,1924936.0,130.0,38.0,25.0,16308.0,115,140,1356,1,0,70,0.2625,0.4737,0.6842,0.014,0.5,0.52,0.0,2.1139,1.2787,1.1139,-0.3158,-0.02,0.4089,0,1,0,0,0,0,1
287,41,56,1939590.0,1939602.0,117.0,22.0,14.0,11647.0,89,110,1356,1,0,70,0.0605,0.35,0.8,0.0111,0.6818,0.8571,0.0,2.0682,1.1761,1.0792,-0.2,-0.2223,0.3068,0,1,0,0,0,0,1
290,20,37,1978821.0,1978842.0,185.0,29.0,24.0,18517.0,88,119,1354,1,0,70,0.0295,0.4818,0.8095,0.0126,0.5862,0.875,1.0,2.2672,1.2305,1.3222,0.1905,-0.218,0.5903,0,1,0,0,0,0,1
291,151,162,1990021.0,1990031.0,59.0,13.0,11.0,5957.0,89,111,1354,1,0,70,0.223,0.4636,0.9091,0.0081,0.8461,0.9091,0.0,1.7708,1.0414,1.0,-0.0909,-0.2112,0.2173,0,1,0,0,0,0,1
292,69,81,2001776.0,2001794.0,119.0,20.0,18.0,11516.0,84,117,1352,1,0,70,0.1021,0.4491,0.6667,0.0089,0.6,1.0,1.0,2.0756,1.0792,1.2553,0.3333,-0.244,0.3601,0,1,0,0,0,0,1
293,79,88,2012938.0,2012949.0,66.0,10.0,11.0,5652.0,75,101,1356,1,0,70,0.1165,0.3333,0.8182,0.0066,0.9,1.0,1.0,1.8195,0.9542,1.0414,0.1818,-0.331,0.2051,0,1,0,0,0,0,1
295,74,91,2032900.0,2032910.0,99.0,29.0,17.0,11843.0,109,134,1354,1,0,70,0.1093,0.4177,0.5882,0.0126,0.5862,0.5882,0.0,1.9956,1.2305,1.0,-0.4118,-0.0654,0.2928,0,1,0,0,0,0,1
296,34,48,2044448.0,2044475.0,197.0,38.0,29.0,19139.0,86,109,1354,1,0,70,0.0502,0.4788,0.5185,0.0103,0.3684,0.931,1.0,2.2945,1.1461,1.4314,0.4815,-0.241,0.6236,0,1,0,0,0,0,1
297,13,21,2058002.0,2058016.0,91.0,12.0,14.0,8106.0,79,101,1358,1,0,70,0.0192,0.1875,0.5714,0.0059,0.6667,1.0,1.0,1.959,0.9031,1.1461,0.4286,-0.3041,0.2195,0,1,0,0,0,0,1
298,32,44,2070769.0,2070796.0,142.0,30.0,29.0,12465.0,72,109,1354,1,0,70,0.0473,0.5617,0.4444,0.0089,0.4,0.931,1.0,2.1523,1.0792,1.4314,0.5556,-0.3142,0.5362,0,1,0,0,0,0,1
299,81,90,2082327.0,2082338.0,60.0,13.0,11.0,6133.0,91,117,1356,1,0,70,0.1195,0.3939,0.8182,0.0066,0.6923,1.0,1.0,1.7781,0.9542,1.0414,0.1818,-0.2014,0.2051,0,1,0,0,0,0,1
300,22,31,2097257.0,2097270.0,60.0,15.0,13.0,5573.0,81,103,1354,1,0,70,0.0325,0.4872,0.6923,0.0066,0.6,1.0,1.0,1.7781,0.9542,1.1139,0.3077,-0.2743,0.2253,0,1,0,0,0,0,1
302,107,120,2126449.0,2126462.0,103.0,19.0,13.0,12424.0,112,132,1356,1,0,70,0.1578,0.3905,1.0,0.0096,0.6842,1.0,0.5,2.0128,1.1139,1.1139,0.0,-0.0576,0.2914,0,1,0,0,0,0,1
303,7,19,2153394.0,2153410.0,93.0,19.0,17.0,9214.0,90,108,1356,1,0,70,0.0103,0.5156,0.75,0.0088,0.6316,0.9412,1.0,1.9685,1.0792,1.2041,0.25,-0.226,0.3241,0,1,0,0,0,0,1
304,42,59,2216544.0,2216556.0,115.0,22.0,17.0,11748.0,87,124,1356,1,0,70,0.0619,0.4363,0.7059,0.0125,0.7727,0.7059,0.0,2.0607,1.2305,1.0792,-0.2941,-0.2019,0.3419,0,1,0,0,0,0,1
306,8,18,2293926.0,2293946.0,109.0,22.0,20.0,11293.0,90,116,1356,1,0,70,0.0118,0.455,0.5,0.0074,0.4545,1.0,1.0,2.0374,1.0,1.301,0.5,-0.1906,0.3359,0,1,0,0,0,0,1
308,45,53,2409503.0,2409518.0,88.0,13.0,15.0,8123.0,81,110,1354,1,0,70,0.0665,0.2667,0.5333,0.0059,0.6154,1.0,1.0,1.9445,0.9031,1.1761,0.4667,-0.2788,0.2288,0,1,0,0,0,0,1
310,4,17,2445033.0,2445050.0,97.0,19.0,17.0,5940.0,47,77,1358,1,0,70,0.0059,0.5611,0.7647,0.0096,0.6842,1.0,1.0,1.9868,1.1139,1.2305,0.2353,-0.5216,0.3678,0,1,0,0,0,0,1
311,27,36,2457919.0,2457943.0,145.0,19.0,26.0,14997.0,91,117,1356,1,0,70,0.0398,0.3287,0.375,0.0066,0.4737,0.9231,1.0,2.1614,0.9542,1.3802,0.625,-0.192,0.3601,0,1,0,0,0,0,1
312,26,40,2535272.0,2535292.0,205.0,24.0,21.0,26503.0,108,148,1354,1,0,70,0.0384,0.2679,0.7,0.0103,0.5833,0.9524,1.0,2.3117,1.1461,1.301,0.3,0.01,0.463,0,1,0,0,0,0,1
313,2,11,2550643.0,2550653.0,60.0,12.0,10.0,3673.0,48,77,1358,1,0,70,0.003,0.3333,0.9,0.0066,0.75,1.0,1.0,1.7781,0.9542,1.0,0.1,-0.5217,0.1954,0,1,0,0,0,0,1
314,24,38,2563219.0,2563241.0,173.0,22.0,23.0,17100.0,85,111,1356,1,0,70,0.0354,0.4383,0.6364,0.0103,0.6364,0.9565,1.0,2.238,1.1461,1.3424,0.3636,-0.2278,0.5096,0,1,0,0,0,0,1
315,9,25,2583771.0,2583780.0,71.0,19.0,12.0,6886.0,84,111,1356,1,0,70,0.0133,0.5069,0.5625,0.0118,0.8421,0.75,0.0,1.8513,1.2041,0.9542,-0.4375,-0.2423,0.2583,0,1,0,0,0,0,1
317,13,23,2632520.0,2632529.0,53.0,13.0,9.0,5267.0,90,109,1354,1,0,70,0.0192,0.4111,0.9,0.0074,0.7692,1.0,0.0,1.7243,1.0,0.9542,-0.1,-0.2236,0.1954,0,1,0,0,0,0,1
318,48,61,2644076.0,2644097.0,153.0,25.0,21.0,16865.0,90,125,1352,1,0,70,0.071,0.4396,0.6191,0.0096,0.52,1.0,1.0,2.1847,1.1139,1.3222,0.381,-0.1388,0.4514,0,1,0,0,0,0,1
319,17,33,2656857.0,2656867.0,78.0,28.0,17.0,9208.0,105,132,1352,1,0,70,0.0251,0.5125,0.625,0.0118,0.5714,0.5882,0.0,1.8921,1.2041,1.0,-0.375,-0.0777,0.2792,0,1,0,0,0,0,1
320,23,40,2669665.0,2669677.0,94.0,24.0,16.0,10847.0,104,126,1354,1,0,70,0.034,0.5392,0.7059,0.0126,0.7083,0.75,0.0,1.9731,1.2305,1.0792,-0.2941,-0.0985,0.3419,0,1,0,0,0,0,1
324,19,28,2811785.0,2811821.0,192.0,35.0,36.0,18361.0,80,118,1354,1,0,70,0.0281,0.4074,0.25,0.0066,0.2571,1.0,1.0,2.2833,0.9542,1.5563,0.75,-0.2529,0.5362,0,1,0,0,0,0,1
325,17,27,2824729.0,2824741.0,76.0,15.0,12.0,4643.0,43,86,1354,1,0,70,0.0251,0.3667,0.8333,0.0074,0.6667,1.0,1.0,1.8808,1.0,1.0792,0.1667,-0.5227,0.2288,0,1,0,0,0,0,1
326,18,32,2837245.0,2837268.0,199.0,20.0,23.0,18720.0,80,110,1352,1,0,70,0.0266,0.382,0.6087,0.0104,0.7,1.0,1.0,2.2989,1.1461,1.3617,0.3913,-0.2651,0.5329,0,1,0,0,0,0,1
327,15,22,2857887.0,2857900.0,71.0,11.0,13.0,6657.0,81,108,1350,1,0,70,0.0222,0.2198,0.5385,0.0052,0.6364,1.0,1.0,1.8513,0.8451,1.1139,0.4615,-0.2675,0.1965,0,1,0,0,0,0,1
328,0,6,2939205.0,2939222.0,69.0,14.0,18.0,7151.0,92,118,1348,1,0,70,0.0,0.3235,0.3529,0.0044,0.4286,0.9444,1.0,1.8389,0.7782,1.2305,0.6471,-0.1903,0.2083,0,1,0,0,0,0,1
329,1264,1271,750387.0,750399.0,52.0,11.0,13.0,5907.0,105,125,1358,1,0,100,0.1281,0.381,0.5833,0.0052,0.6364,0.9231,1.0,1.716,0.8451,1.0792,0.4167,-0.1125,0.1892,0,1,0,0,0,0,1
331,105,125,843822.0,843837.0,155.0,37.0,23.0,19453.0,120,134,1362,0,1,40,0.1542,0.4833,0.75,0.0147,0.5405,0.6522,0.0,2.1903,1.301,1.1761,-0.25,-0.0195,0.4963,0,1,0,0,0,0,1
333,103,122,1136912.0,1136924.0,142.0,25.0,15.0,17707.0,119,133,1362,0,1,40,0.1513,0.3772,0.6316,0.0139,0.76,0.8,0.0,2.1523,1.2787,1.0792,-0.3684,-0.0258,0.3787,0,1,0,0,0,0,1
335,209,230,1346248.0,1346264.0,158.0,45.0,30.0,20312.0,122,140,1362,0,1,40,0.3069,0.5298,0.7619,0.0154,0.4667,0.5333,0.0,2.1987,1.3222,1.2041,-0.2381,0.0044,0.556,0,1,0,0,0,0,1
338,1190,1201,9007.0,9033.0,180.0,24.0,27.0,17505.0,87,111,1362,0,1,175,0.2364,0.3706,0.4231,0.0081,0.4583,0.963,1.0,2.2553,1.0414,1.415,0.5769,-0.2402,0.4729,0,1,0,0,0,0,1
339,1214,1222,737538.0,737568.0,147.0,28.0,31.0,16908.0,105,133,1362,0,1,175,0.2056,0.3875,0.2667,0.0059,0.2857,0.9677,1.0,2.1673,0.9031,1.4771,0.7333,-0.1014,0.3977,0,1,0,0,0,0,1
341,1207,1214,882674.0,882712.0,120.0,35.0,39.0,15035.0,118,135,1362,0,1,175,0.2173,0.5489,0.1842,0.0051,0.2,0.9744,1.0,2.0792,0.8451,1.5798,0.8158,-0.0212,0.4399,0,1,0,0,0,0,1
343,1191,1201,1062881.0,1062901.0,124.0,26.0,21.0,14323.0,107,126,1364,0,1,175,0.239,0.38,0.5,0.0073,0.3846,0.9524,1.0,2.0934,1.0,1.301,0.5,-0.0976,0.3359,0,1,0,0,0,0,1
344,1202,1215,1127580.0,1127599.0,119.0,24.0,20.0,13662.0,106,127,1364,0,1,175,0.2185,0.5182,0.6842,0.0095,0.5417,0.95,1.0,2.0756,1.1139,1.2787,0.3158,-0.1031,0.4089,0,1,0,0,0,0,1
345,1109,1118,1170194.0,1170219.0,130.0,21.0,26.0,15147.0,109,126,1360,0,1,175,0.3559,0.4222,0.36,0.0066,0.4286,0.9615,1.0,2.1139,0.9542,1.3979,0.64,-0.0897,0.374,0,1,0,0,0,0,1
364,1220,1228,270702.0,270711.0,70.0,8.0,9.0,11255.0,143,174,1387,0,1,40,0.2293,0.0278,0.8889,0.0058,1.0,1.0,1.0,1.8451,0.9031,0.9542,0.1111,0.2561,0.1773,0,0,1,0,0,0,1
366,4,16,394965.0,394980.0,140.0,12.0,15.0,20974.0,118,174,1387,0,1,40,0.0058,0.2222,0.8,0.0087,1.0,1.0,1.0,2.1461,1.0792,1.1761,0.2,0.1704,0.3068,0,0,1,0,0,0,1
367,867,878,419960.0,419973.0,108.0,11.0,13.0,17174.0,123,181,1387,0,1,40,0.734,0.2448,0.8461,0.0079,1.0,1.0,1.0,2.0334,1.0414,1.1139,0.1539,0.2423,0.257,0,0,1,0,0,0,1
368,1279,1288,435870.0,435883.0,96.0,9.0,13.0,14369.0,128,164,1387,0,1,40,0.1427,0.1795,0.6923,0.0065,1.0,1.0,1.0,1.9823,0.9542,1.1139,0.3077,0.1693,0.2253,0,0,1,0,0,0,1
369,951,961,494451.0,494461.0,81.0,11.0,10.0,13311.0,141,182,1387,0,1,40,0.6143,0.19,1.0,0.0072,0.9091,1.0,0.5,1.9085,1.0,1.0,0.0,0.2839,0.2061,0,0,1,0,0,0,1
370,945,956,508640.0,508650.0,85.0,12.0,10.0,14041.0,139,181,1387,0,1,40,0.6215,0.2273,0.9091,0.0079,0.9167,1.0,0.0,1.9294,1.0414,1.0,-0.0909,0.2905,0.2173,0,0,1,0,0,0,1
372,925,934,552377.0,552388.0,75.0,9.0,11.0,12593.0,150,180,1387,0,1,40,0.6532,0.2424,0.8182,0.0065,1.0,1.0,1.0,1.8751,0.9542,1.0414,0.1818,0.3118,0.2051,0,0,1,0,0,0,1
373,919,930,561832.0,561842.0,88.0,11.0,10.0,14538.0,134,183,1387,0,1,40,0.659,0.2,0.9091,0.0079,1.0,1.0,0.0,1.9445,1.0414,1.0,-0.0909,0.2907,0.2173,0,0,1,0,0,0,1
374,919,928,578380.0,578392.0,88.0,10.0,13.0,14808.0,148,182,1387,0,1,40,0.6619,0.1852,0.75,0.0065,0.9,0.9231,1.0,1.9445,0.9542,1.0792,0.25,0.3146,0.215,0,0,1,0,0,0,1
378,926,935,675316.0,675327.0,63.0,9.0,11.0,10518.0,156,180,1387,0,1,40,0.6518,0.3636,0.8182,0.0065,1.0,1.0,1.0,1.7993,0.9542,1.0414,0.1818,0.3043,0.2051,0,0,1,0,0,0,1
379,897,907,898704.0,898715.0,101.0,11.0,11.0,16760.0,148,182,1387,0,1,40,0.6921,0.0818,0.9091,0.0072,0.9091,1.0,1.0,2.0043,1.0,1.0414,0.0909,0.2964,0.2173,0,0,1,0,0,0,1
380,892,903,908164.0,908176.0,92.0,12.0,12.0,14703.0,128,175,1387,0,1,40,0.6979,0.303,0.9167,0.0079,0.9167,1.0,1.0,1.9638,1.0414,1.0792,0.0833,0.2486,0.2432,0,0,1,0,0,0,1
384,476,490,13302.0,13320.0,227.0,14.0,18.0,21216.0,36,127,1373,0,1,40,0.6934,0.0992,0.7778,0.0102,1.0,1.0,1.0,2.356,1.1461,1.2553,0.2222,-0.2698,0.417,0,0,1,0,0,0,1
385,498,515,31041.0,31058.0,231.0,17.0,17.0,21639.0,33,127,1373,0,1,40,0.7254,0.2007,1.0,0.0124,1.0,1.0,0.5,2.3636,1.2305,1.2305,0.0,-0.2682,0.4779,0,0,1,0,0,0,1
386,1147,1162,41184.0,41201.0,194.0,16.0,17.0,19202.0,68,124,1373,0,1,40,0.3074,0.2392,0.8824,0.0109,0.9375,1.0,1.0,2.2878,1.1761,1.2305,0.1177,-0.2267,0.4219,0,0,1,0,0,0,1
387,489,504,55547.0,55568.0,247.0,17.0,21.0,23671.0,43,129,1373,0,1,40,0.7123,0.2159,0.7143,0.0109,0.8824,1.0,1.0,2.3927,1.1761,1.3222,0.2857,-0.2513,0.5212,0,0,1,0,0,0,1
388,236,249,64701.0,64720.0,175.0,13.0,19.0,18625.0,61,126,1373,0,1,40,0.3438,0.2915,0.6842,0.0095,1.0,1.0,1.0,2.243,1.1139,1.2787,0.3158,-0.1685,0.4089,0,0,1,0,0,0,1
420,39,58,933630.0,933641.0,100.0,30.0,16.0,12817.0,123,140,1398,0,1,40,0.0558,0.5215,0.5789,0.0136,0.6333,0.6875,0.0,2.0,1.2787,1.0414,-0.4211,0.0013,0.3494,0,0,1,0,0,0,1
425,41,58,997542.0,997556.0,128.0,38.0,27.0,16028.0,120,134,1400,0,1,40,0.0586,0.4622,0.8235,0.0121,0.4474,0.5185,0.0,2.1072,1.2305,1.1461,-0.1765,-0.0217,0.3945,0,0,1,0,0,0,1
